player first name, player last name, UTR ranking, gender
alex, boye, 13.5, Male
jonny, boax, 14, Male
liam, holt, 10, Male
billy, abonlee, 5, Male
kai, moses, 14, Male
kaleb, federer, 13.5, Male
mark, henry, 12.5, Male
hosafe, lukes, 12, Male
chris, pratt, 3, Male
jimmy, fallon, 15, Male
abe, frost, 11, Male
copper, metal, 10, Male
lisa, perez, 13, Female
PJ, johanson, 12.5, Female
journey, jacobson, 4, Female
leah, moses, 11, Female
bella, holt, 12.5, Female
shakira, tiger, 7, Female
lilah, monster, 13, Female
sadie, copper, 12.5, Female
falin, yung, 13.2, Female
josie, rose, 9, Female
rinna, stone, 12.5, Female
maria, hernendaz, 11, female
